,platform,name,appendix,version,major_version,release_datetime,release_year,deps_count,dir_deps_count,trans_deps_count,max_depth,own_vulns_count,dep_vulns_hist_count_with_test,dep_vulns_hist_count_wo_test,dep_vulns_count_with_test,dep_vulns_count_wo_test,dep_vulns_low_with_test,dep_vulns_low_wo_test,dep_vulns_medium_with_test,dep_vulns_medium_wo_test,dep_vulns_high_with_test,dep_vulns_high_wo_test,dep_vulns_critical_with_test,dep_vulns_critical_wo_test,dep_vulns_unknown_with_test,dep_vulns_unknown_wo_test
25,maven,com.fasterxml.jackson.dataformat:jackson-dataformat-cbor,B,2.13.4,2,2022-09-04 00:42:33.000,2022,5.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
26,maven,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,B,2.13.4,2,2022-09-04 00:45:12.000,2022,6.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
27,maven,com.fasterxml.jackson.datatype:jackson-datatype-jdk8,B,2.13.4,2,2022-09-04 00:35:57.000,2022,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
28,maven,com.fasterxml.jackson.datatype:jackson-datatype-jsr310,B,2.13.4,2,2022-09-04 00:35:50.000,2022,5.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
29,maven,com.fasterxml.jackson.module:jackson-module-jaxb-annotations,B,2.13.4,2,2022-09-04 00:33:50.000,2022,11.0,7.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
30,maven,com.fasterxml.jackson.module:jackson-module-parameter-names,D,2.13.4,2,2022-09-04 00:35:55.000,2022,8.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
31,maven,com.fasterxml:classmate,B,1.5.1,1,2019-10-20 00:47:07.000,2019,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,maven,com.force.api:force-wsc,B,56.1.0,56,2022-10-21 00:59:40.000,2022,11.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,maven,com.github.ben-manes.caffeine:caffeine,F,3.1.1,3,2022-05-26 20:43:40.000,2022,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,maven,com.github.stephenc.jcip:jcip-annotations,D,1.0-1,1,2013-02-13 11:57:33.000,2013,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,maven,com.google.android:annotations,B,4.1.1.4,4,2015-12-28 13:56:17.000,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,maven,com.google.api.grpc:proto-google-common-protos,B,2.8.4,2,2022-10-10 20:47:39.000,2022,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,maven,com.google.cloud.sql:mysql-socket-factory-connector-j-6,B,1.2.1,1,2021-02-17 01:02:05.000,2021,48.0,7.0,41.0,5.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0
38,maven,com.google.code.findbugs:annotations,D,3.0.1u2,3,2015-10-09 08:11:45.000,2015,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,maven,com.google.code.findbugs:bcel,D,2.0.2,2,2013-10-03 08:32:54.000,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,maven,com.google.code.findbugs:jsr305,B,3.0.2,3,2017-03-31 06:55:48.000,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,maven,com.google.code.gson:gson,B,2.9.1,2,2022-07-31 23:26:22.000,2022,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,maven,com.google.errorprone:error_prone_annotations,B,2.16,2,2022-10-11 17:20:43.000,2022,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,maven,com.google.guava:failureaccess,B,1.0.1,1,2018-11-19 18:57:27.000,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,maven,com.google.guava:guava,B,31.1-jre,31,2022-02-28 22:18:58.000,2022,7.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,maven,com.google.guava:listenablefuture,B,9999.0-empty-to-avoid-conflict-with-guava,9999,2018-09-11 21:40:43.000,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,maven,com.google.http-client:google-http-client-gson,B,1.42.2,1,2022-07-14 16:19:34.000,2022,19.0,3.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,maven,com.google.inject:guice,B,5.1.0,5,2022-01-24 23:06:17.000,2022,20.0,10.0,10.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,maven,com.google.j2objc:j2objc-annotations,B,1.3,1,2017-01-19 00:09:55.000,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,maven,com.google.protobuf:protobuf-java,B,3.21.8,3,2022-10-18 21:48:20.000,2022,16.0,4.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,maven,com.googlecode.json-simple:json-simple,B,1.1.1,1,2012-03-21 06:11:34.000,2012,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,maven,com.h2database:h2,B,2.1.214,2,2022-06-14 20:50:20.000,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,maven,com.helger:profiler,B,1.1.1,1,2019-07-21 17:17:31.000,2019,3.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,maven,com.ibm.icu:icu4j,D,72.1,72,2022-10-19 16:39:56.000,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,maven,com.jayway.jsonpath:json-path,B,2.7.0,2,2022-01-30 15:35:28.000,2022,13.0,9.0,4.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0
